formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
GaZrO3,Ga,Zr,cubic,-2.173,0.7070000000000001,-0.088,14.219000000000001,0.0,4.143,4.143,4.143,90,90,90,0.185
GdAcO3,Gd,Ac,cubic,-2.225,1.4609999999999999,0,20.281,0.0,4.663,4.663,4.663,90,90,90,1.081
GdAgO3,Gd,Ag,cubic,-1.484,0.525,0,13.023,0.0,4.023,4.023,4.023,90,90,90,-0.40700000000000003
GdAlO3,Gd,Al,orthorhombic,-3.569,-0.040999999999999995,0,10.339,5.604,5.221,5.333,7.428,90,90,90,6.35
GdAsO3,Gd,As,cubic,-1.959,0.66,0,12.804,0.0,4,4,4,90,90,90,2.291
GdAuO3,Gd,Au,cubic,-1.348,0.727,0,13.762,0.0,4.098,4.098,4.098,90,90,90,-0.5
GdBO3,Gd,B,cubic,-2.513,0.779,0,8.405,2.803,3.477,3.477,3.477,90,90,90,5.367000000000001
GdBaO3,Gd,Ba,orthorhombic,-2.8089999999999997,0.268,0.201,18.822,0.619,6.507,6.793,8.517,90,90,90,-6.9879999999999995
GdBeO3,Gd,Be,orthorhombic,-2.741,0.341,0.2,9.075,0.0,5.025,5.08,7.111,90,90,90,-0.7709999999999999
GdBiO3,Gd,Bi,cubic,-1.581,1.053,0,16.633,0.0,4.365,4.365,4.365,90,90,90,1.002
GdCaO3,Gd,Ca,cubic,-2.207,0.98,0.2,13.96,0.0,4.117,4.117,4.117,90,90,90,-2.5789999999999997
GdCdO3,Gd,Cd,cubic,-1.652,0.738,0,13.727,0.0,4.094,4.094,4.094,90,90,90,-0.848
GdCeO3,Gd,Ce,cubic,-2.371,1.285,0,18.68,0.43200000000000005,4.537,4.537,4.537,90,90,90,-2.6839999999999997
GdCrO3,Gd,Cr,orthorhombic,-3.185,-0.048,0.6,11.300999999999998,2.406,5.307,5.585,7.625,90,90,90,4.365
GdCuO3,Gd,Cu,orthorhombic,-2.263,0.043,0,11.177999999999999,0.0,5.251,5.86,7.265,90,90,90,0.875
GdDyO3,Gd,Dy,cubic,-2.964,0.858,0,15.526,1.71,4.266,4.266,4.266,90,90,90,1.6440000000000001
GdErO3,Gd,Er,cubic,-3.062,0.7829999999999999,0,15.015,1.7790000000000001,4.219,4.219,4.219,90,90,90,4.376
GdEuO3,Gd,Eu,cubic,-2.193,1.062,0.106,15.453,0.0,4.259,4.259,4.259,90,90,90,-2.044
GdFeO3,Gd,Fe,orthorhombic,-2.766,-0.023,1,11.439,1.1640000000000001,5.33,5.614,7.646,90,90,90,3.384
GdGaO3,Gd,Ga,orthorhombic,-2.9539999999999997,0.045,0,11.244000000000002,4.008,5.305,5.571,7.608,90,90,90,4.584
Gd2O3,Gd,Gd,cubic,-2.85,0.943,0,16.115,1.454,4.319,4.319,4.319,90,90,90,0.68
GdGeO3,Gd,Ge,cubic,-2.259,0.5579999999999999,0,11.687999999999999,0.0,3.881,3.881,3.881,90,90,90,2.9019999999999997
GdHfO3,Gd,Hf,orthorhombic,-3.4330000000000003,0.21100000000000002,0.001,12.640999999999998,0.0,5.492,6.076,7.576,90,90,90,4.652
GdHgO3,Gd,Hg,cubic,-1.236,0.8420000000000001,0,14.725999999999999,0.0,4.191,4.191,4.191,90,90,90,-0.7909999999999999
GdHoO3,Gd,Ho,cubic,-3.015,0.818,0,15.277000000000001,1.6480000000000001,4.243,4.243,4.243,90,90,90,1.857
GdInO3,Gd,In,cubic,-2.182,0.636,0,13.283,1.499,4.05,4.05,4.05,90,90,90,2.787
GdIrO3,Gd,Ir,cubic,-1.696,0.68,0,12.398,0.0,3.958,3.958,3.958,90,90,90,-0.662
GdKO3,Gd,K,orthorhombic,-2.024,0.449,0.4,18.295,0.0,6.012,6.054,10.052,90,90,90,-3.78
GdLaO3,Gd,La,cubic,-2.4930000000000003,1.2590000000000001,0,18.403,0.402,4.515,4.515,4.515,90,90,90,-2.66
GdLiO3,Gd,Li,orthorhombic,-2.269,0.31,0.4,10.592,0.0,5,5.798,7.308,90,90,90,-1.128
GdLuO3,Gd,Lu,cubic,-3.2030000000000003,0.674,0,14.345,1.993,4.155,4.155,4.155,90,90,90,4.72
GdMgO3,Gd,Mg,orthorhombic,-2.91,0.174,0.2,11.581,0.0,5.347,5.732,7.558,90,90,90,-1.244
GdMnO3,Gd,Mn,orthorhombic,-2.944,0.002,0.8,11.491,0.23,5.319,5.74,7.527,90,90,90,3.6
GdMoO3,Gd,Mo,cubic,-2.33,0.55,0.005,12.4,0.0,3.958,3.958,3.958,90,90,90,1.9769999999999999
GdNaO3,Gd,Na,cubic,-1.489,0.996,0.4,12.165999999999999,0.0,3.933,3.933,3.933,90,90,90,-2.569
GdNbO3,Gd,Nb,cubic,-2.654,0.539,0.001,13.069,0.0,4.028,4.028,4.028,90,90,90,3.3489999999999998
GdNdO3,Gd,Nd,cubic,-2.551,1.155,0,17.658,0.78,4.453,4.453,4.453,90,90,90,-1.4569999999999999
GdNiO3,Gd,Ni,orthorhombic,-2.39,0.003,0.2,10.708,0.0,5.216,5.505,7.459,90,90,90,1.181
GdNpO3,Gd,Np,cubic,-2.6319999999999997,1.005,0.789,17.305999999999997,0.0,4.423,4.423,4.423,90,90,90,2.533
GdOsO3,Gd,Os,cubic,-1.743,0.698,0.005,12.242,0.0,3.941,3.941,3.941,90,90,90,0.33299999999999996
GdPaO3,Gd,Pa,cubic,-2.426,0.8640000000000001,0.295,17.779,0.0,4.463,4.463,4.463,90,90,90,2.8739999999999997
GdPbO3,Gd,Pb,cubic,-1.554,0.96,0,15.508,0.0,4.264,4.264,4.264,90,90,90,0.631
GdPdO3,Gd,Pd,orthorhombic,-2.194,0.036000000000000004,0.003,12.113,0.0,5.423,5.911,7.558,90,90,90,0.096
GdPmO3,Gd,Pm,cubic,-2.641,1.093,0,17.185,1.137,4.413,4.413,4.413,90,90,90,-0.871
GdPrO3,Gd,Pr,cubic,-2.468,1.217,0,18.13,0.601,4.492,4.492,4.492,90,90,90,-2.045
GdPtO3,Gd,Pt,cubic,-1.608,0.636,0,12.949000000000002,0.0,4.015,4.015,4.015,90,90,90,-0.36700000000000005
GdPuO3,Gd,Pu,cubic,-2.673,1.04,0.947,16.632,0.0,4.365,4.365,4.365,90,90,90,0.039
GdRbO3,Gd,Rb,orthorhombic,-1.993,0.47200000000000003,0.4,19.903,0.0,6.026,6.051,10.916,90,90,90,-3.2539999999999996
GdReO3,Gd,Re,cubic,-1.956,0.757,0.162,12.322000000000001,0.0,3.95,3.95,3.95,90,90,90,0.537
GdRhO3,Gd,Rh,orthorhombic,-2.408,-0.044000000000000004,0,11.717,0.966,5.291,5.787,7.654,90,90,90,0.071
GdRuO3,Gd,Ru,cubic,-1.9569999999999999,0.526,0.121,12.032,0.0,3.918,3.918,3.918,90,90,90,0.899
GdSbO3,Gd,Sb,cubic,-1.794,0.9570000000000001,-0.001,14.94,0.0,4.212,4.212,4.212,90,90,90,1.234
GdScO3,Gd,Sc,orthorhombic,-3.7889999999999997,0.011000000000000001,0,12.399000000000001,4.618,5.462,5.744,7.903,90,90,90,5.136
GdSiO3,Gd,Si,cubic,-2.6660000000000004,0.6809999999999999,0,10.145,0.0,3.702,3.702,3.702,90,90,90,4.651
GdSmO3,Gd,Sm,cubic,-2.697,1.05,0,16.867,1.3430000000000002,4.385,4.385,4.385,90,90,90,-0.462
GdSnO3,Gd,Sn,cubic,-2.062,0.777,0,13.873,0.0,4.109,4.109,4.109,90,90,90,2.372
GdSrO3,Gd,Sr,orthorhombic,-2.867,0.266,0.108,16.796,0.0,5.868,5.882,9.732,90,90,90,-3.373
GdTaO3,Gd,Ta,cubic,-2.7310000000000003,0.5770000000000001,0.001,12.86,0.0,4.006,4.006,4.006,90,90,90,3.388
GdTbO3,Gd,Tb,cubic,-2.778,0.899,0,15.81,1.5819999999999999,4.292,4.292,4.292,90,90,90,1.004
GdTcO3,Gd,Tc,cubic,-2.1319999999999997,0.529,0.314,12.216,0.0,3.938,3.938,3.938,90,90,90,1.449
GdTeO3,Gd,Te,cubic,-1.48,1.067,0.003,15.202,0.0,4.236,4.236,4.236,90,90,90,0.972
GdThO3,Gd,Th,cubic,-2.822,0.985,0.011,18.865,0.0,4.552,4.552,4.552,90,90,90,2.501
GdTiO3,Gd,Ti,orthorhombic,-3.45,0.036000000000000004,0.2,11.654000000000002,0.0,5.341,5.687,7.675,90,90,90,4.865
GdTlO3,Gd,Tl,orthorhombic,-2.271,0.094,0.001,14.239,1.12,5.626,5.984,8.458,90,90,90,0.6859999999999999
GdTmO3,Gd,Tm,cubic,-3.122,0.74,0,14.761,1.964,4.195,4.195,4.195,90,90,90,4.498
GdUO3,Gd,U,cubic,-2.6210000000000004,0.9940000000000001,0.539,16.910999999999998,0.0,4.389,4.389,4.389,90,90,90,2.093
GdVO3,Gd,V,orthorhombic,-3.255,-0.044000000000000004,0.4,11.626,1.258,5.336,5.697,7.649,90,90,90,4.106
GdWO3,Gd,W,cubic,-2.25,0.728,0.001,12.45,0.0,3.963,3.963,3.963,90,90,90,1.535
GdYO3,Gd,Y,cubic,-2.94,0.86,0,15.525,1.911,4.266,4.266,4.266,90,90,90,1.453
GdYbO3,Gd,Yb,cubic,-2.441,0.8590000000000001,0.158,13.821,0.0,4.104,4.104,4.104,90,90,90,-1.69
GdZnO3,Gd,Zn,orthorhombic,-2.434,0.122,0,11.485999999999999,0.0,5.274,5.792,7.52,90,90,90,-0.05
GdZrO3,Gd,Zr,cubic,-3.015,0.525,0,14.033,0.0,4.125,4.125,4.125,90,90,90,4.296
GeAcO3,Ge,Ac,orthorhombic,-2.55,0.09,0,16.432000000000002,0.0,5.918,6.3,8.815,90,90,90,-3.55
GeAgO3,Ge,Ag,cubic,-0.019,1.22,-,12.767999999999999,0.0,3.997,3.997,3.997,90,90,90,-3.423
GeAlO3,Ge,Al,cubic,-1.786,0.706,-,10.092,0.0,3.695,3.695,3.695,90,90,90,-0.233
GeAsO3,Ge,As,cubic,-0.938,0.6779999999999999,-,11.579,0.0,3.869,3.869,3.869,90,90,90,1.5830000000000002
GeAuO3,Ge,Au,cubic,-0.054000000000000006,1.173,-,13.171,0.0,4.038,4.038,4.038,90,90,90,-0.8859999999999999
GeBO3,Ge,B,cubic,-0.847,1.315,-,7.68,0.0,3.374,3.374,3.374,90,90,90,-0.659
GeBaO3,Ge,Ba,orthorhombic,-2.394,0.131,-,17.277,3.093,5.186,6.053,11.006,90,90,90,-7.41
GeBeO3,Ge,Be,cubic,-1.021,1.2990000000000002,-,8.262,0.0,3.457,3.457,3.457,90,90,90,-4.938
GeBiO3,Ge,Bi,cubic,-0.718,0.96,-,15.485999999999999,0.0,4.262,4.262,4.262,90,90,90,0.5710000000000001
GeCeO3,Ge,Ce,orthorhombic,-2.4659999999999997,0.228,0,15.220999999999998,0.0,5.774,6.139,8.589,90,90,90,-4.155
GeCoO3,Ge,Co,cubic,-0.73,0.961,0.532,10.238999999999999,0.0,3.713,3.713,3.713,90,90,90,0.905
GeCrO3,Ge,Cr,cubic,-1.431,0.66,0.4,10.822000000000001,0.0,3.782,3.782,3.782,90,90,90,1.067
GeCsO3,Ge,Cs,orthorhombic,-1.547,0.071,-,18.264,0.489,5.682,6.742,9.536,90,90,90,-2.225
GeCuO3,Ge,Cu,cubic,-0.4,1.056,-,10.335,0.0,3.725,3.725,3.725,90,90,90,-2.967
GeDyO3,Ge,Dy,cubic,-1.624,1.2009999999999998,0.199,15.662,0.0,4.278,4.278,4.278,90,90,90,-2.969
GeErO3,Ge,Er,cubic,-1.681,1.117,-0.196,15.27,0.0,4.242,4.242,4.242,90,90,90,-2.681
GeEuO3,Ge,Eu,orthorhombic,-2.572,0.132,0,13.539000000000001,2.662,5.203,5.204,10,90,90,90,-6.0360000000000005
GeFeO3,Ge,Fe,cubic,-1.043,0.777,0.8,10.753,0.0,3.774,3.774,3.774,90,90,90,0.461
GeGaO3,Ge,Ga,cubic,-1.058,0.848,-,11.304,0.0,3.838,3.838,3.838,90,90,90,-1.29
GeGdO3,Ge,Gd,cubic,-1.5390000000000001,1.278,0.012,15.985,0.0,4.308,4.308,4.308,90,90,90,-3.4589999999999996
Ge2O3,Ge,Ge,tetragonal,-1.472,0.228,-,11.35,0.237,3.572,3.572,4.448,90,90,90,3.616
GeHfO3,Ge,Hf,orthorhombic,-2.66,0.218,0,12.262,2.728,5.421,5.756,7.86,90,90,90,4.5889999999999995
GeHgO3,Ge,Hg,cubic,0.066,1.396,-,14.082,0.0,4.129,4.129,4.129,90,90,90,-3.785
GeHoO3,Ge,Ho,cubic,-1.636,1.151,0.002,15.41,0.0,4.255,4.255,4.255,90,90,90,-2.9989999999999997
GeInO3,Ge,In,cubic,-0.728,1.061,-,13.8,0.0,4.102,4.102,4.102,90,90,90,-1.9869999999999999
GeIrO3,Ge,Ir,cubic,-0.5660000000000001,0.8859999999999999,0.009,12.03,0.0,3.918,3.918,3.918,90,90,90,0.7090000000000001
GeKO3,Ge,K,orthorhombic,-1.601,0.134,-,15.298,0.406,5.311,6.198,9.294,90,90,90,-4.575
GeLaO3,Ge,La,cubic,-1.43,1.401,0.2,17.750999999999998,0.0,4.461,4.461,4.461,90,90,90,-3.535
GeLiO3,Ge,Li,cubic,-0.28,1.6019999999999999,-,9.052,0.0,3.564,3.564,3.564,90,90,90,-7.295
GeLuO3,Ge,Lu,cubic,-1.7690000000000001,1.062,-0.2,14.708,0.0,4.19,4.19,4.19,90,90,90,-1.926
GeMgO3,Ge,Mg,cubic,-0.9359999999999999,1.4680000000000002,-,11.457,0.0,3.855,3.855,3.855,90,90,90,-5.364
GeMnO3,Ge,Mn,cubic,-1.236,0.789,0.6,10.629000000000001,0.0,3.76,3.76,3.76,90,90,90,0.575
GeMoO3,Ge,Mo,orthorhombic,-1.555,0.304,0.346,11.552999999999999,0.0,5.283,5.684,7.696,90,90,90,3.986
GeNaO3,Ge,Na,orthorhombic,-1.604,0.21100000000000002,-,12.24,0.38,5.082,5.579,8.635,90,90,90,-10.571
GeNbO3,Ge,Nb,orthorhombic,-1.97,0.29600000000000004,0.195,12.027999999999999,0.0,5.31,5.812,7.795,90,90,90,4.379
GeNdO3,Ge,Nd,cubic,-1.383,1.334,0.2,17.333,0.0,4.425,4.425,4.425,90,90,90,-3.92
GeNiO3,Ge,Ni,cubic,-0.525,1.172,0.218,10.14,0.0,3.701,3.701,3.701,90,90,90,-2.9189999999999996
GeNpO3,Ge,Np,cubic,-1.883,0.91,0.569,15.992,0.0,4.308,4.308,4.308,90,90,90,1.405
GeOsO3,Ge,Os,cubic,-0.7490000000000001,0.733,0.208,11.950999999999999,0.0,3.91,3.91,3.91,90,90,90,1.8419999999999999
GePbO3,Ge,Pb,rhombohedral,-1.4809999999999999,0.28,-,15.853,1.6880000000000002,6.153,6.153,6.153,58.4,58.4,58.4,0.674
GePdO3,Ge,Pd,cubic,-0.349,1.044,-,12.095,0.0,3.925,3.925,3.925,90,90,90,-0.489
GePmO3,Ge,Pm,cubic,-1.4369999999999998,1.251,0.2,16.998,0.0,4.397,4.397,4.397,90,90,90,-3.7230000000000003
GePrO3,Ge,Pr,cubic,-1.3359999999999999,1.3019999999999998,0.2,17.667,0.0,4.454,4.454,4.454,90,90,90,-4.047
GePtO3,Ge,Pt,cubic,-0.365,1.005,0.001,12.442,0.0,3.962,3.962,3.962,90,90,90,-0.35700000000000004
GePuO3,Ge,Pu,cubic,-1.9480000000000002,0.7190000000000001,0.8,16.361,0.0,4.341,4.341,4.341,90,90,90,2.975
GeRbO3,Ge,Rb,orthorhombic,-1.571,0.13699999999999998,-,16.625999999999998,0.373,5.43,6.452,9.491,90,90,90,-3.7089999999999996
GeReO3,Ge,Re,cubic,-1.095,0.551,0,12.042,0.0,3.919,3.919,3.919,90,90,90,2.4290000000000003
GeRhO3,Ge,Rh,cubic,-0.605,0.8390000000000001,0.049,11.86,0.0,3.9,3.9,3.9,90,90,90,0.665
GeRuO3,Ge,Ru,cubic,-0.8170000000000001,0.6970000000000001,0.326,11.859000000000002,0.0,3.899,3.899,3.899,90,90,90,2.002
GeSbO3,Ge,Sb,cubic,-1.036,0.643,-,13.468,0.0,4.068,4.068,4.068,90,90,90,2.138
GeScO3,Ge,Sc,cubic,-1.811,0.943,0.006,13.22,0.0,4.043,4.043,4.043,90,90,90,-1.646
GeSiO3,Ge,Si,tetragonal,-2.029,0.382,-,10.11,2.063,3.419,3.419,4.324,90,90,90,5.4879999999999995
GeSmO3,Ge,Sm,cubic,-1.4569999999999999,1.2429999999999999,-0.022,16.819000000000003,0.0,4.381,4.381,4.381,90,90,90,-3.71
GeSnO3,Ge,Sn,orthorhombic,-1.525,0.245,-,12.262,1.097,5.274,5.879,7.909,90,90,90,2.94
GeSrO3,Ge,Sr,orthorhombic,-2.4290000000000003,0.14800000000000002,-,14.470999999999998,2.864,5.208,5.272,10.54,90,90,90,-7.686
GeTbO3,Ge,Tb,cubic,-1.46,1.17,0.201,15.855,0.0,4.296,4.296,4.296,90,90,90,-3.122
GeTcO3,Ge,Tc,cubic,-1.121,0.523,0.004,11.870999999999999,0.0,3.901,3.901,3.901,90,90,90,2.97
GeTeO3,Ge,Te,cubic,-0.732,0.794,-,14.464,0.0,4.166,4.166,4.166,90,90,90,1.6540000000000001
GeThO3,Ge,Th,cubic,-2.162,0.978,0,18.789,0.32299999999999995,4.546,4.546,4.546,90,90,90,2.191
GeTiO3,Ge,Ti,tetragonal,-2.3609999999999998,0.151,0,12.078,1.5090000000000001,3.784,3.784,4.218,90,90,90,4.252
GeTlO3,Ge,Tl,rhombohedral,-1.193,0.28600000000000003,-,15.020999999999999,0.0,6.133,6.133,6.133,56.6,56.6,56.6,-3.26
GeTmO3,Ge,Tm,cubic,-1.7069999999999999,1.109,0.003,15.088,0.0,4.225,4.225,4.225,90,90,90,-2.1790000000000003
GeUO3,Ge,U,cubic,-2.198,0.66,0.147,16.111,0.0,4.319,4.319,4.319,90,90,90,3.662
GeVO3,Ge,V,tetragonal,-1.954,0.21100000000000002,0.2,11.902000000000001,1.0490000000000002,3.75,3.75,4.232,90,90,90,2.827
GeWO3,Ge,W,tetragonal,-1.54,0.41600000000000004,0.001,12.520999999999999,0.0,3.884,4.015,4.015,90,90,90,3.963
GeYO3,Ge,Y,cubic,-1.587,1.235,0.201,15.857999999999999,0.0,4.296,4.296,4.296,90,90,90,-3.068
GeYbO3,Ge,Yb,orthorhombic,-2.545,0.14300000000000002,-,12.636,2.1,5.191,5.22,9.326,90,90,90,-5.676
GeZnO3,Ge,Zn,cubic,-0.519,1.314,-,11.279000000000002,0.0,3.835,3.835,3.835,90,90,90,-4.021
GeZrO3,Ge,Zr,cubic,-2.235,0.524,0,14.040999999999999,1.703,4.125,4.125,4.125,90,90,90,4.191
HfAcO3,Hf,Ac,orthorhombic,-3.2439999999999998,0.273,-0.001,15.475999999999999,0.0,5.924,6.723,7.772,90,90,90,-4.516
HfAgO3,Hf,Ag,orthorhombic,-2.256,0.153,0,12.96,0.0,5.04,5.386,9.549,90,90,90,-2.6010000000000004
HfAlO3,Hf,Al,cubic,-2.658,0.748,0,9.539,0.0,3.627,3.627,3.627,90,90,90,4.93
HfAsO3,Hf,As,cubic,-1.005,1.78,0.156,12.242,0.0,3.941,3.941,3.941,90,90,90,-0.386
HfAuO3,Hf,Au,cubic,-0.368,2.029,0.053,13.427999999999999,0.0,4.064,4.064,4.064,90,90,90,-5.553999999999999
HfBO3,Hf,B,cubic,-1.859,1.335,0,7.852,0.0,3.399,3.399,3.399,90,90,90,3.5189999999999997
HfBaO3,Hf,Ba,orthorhombic,-3.2680000000000002,0.35700000000000004,0,18.555,3.156,5.992,6.134,10.097,90,90,90,-7.285
HfBeO3,Hf,Be,cubic,-2.7260000000000004,0.764,0,7.939,1.19,3.411,3.411,3.411,90,90,90,4.212
HfBiO3,Hf,Bi,cubic,-0.616,2.1790000000000003,0.305,16.04,0.0,4.312,4.312,4.312,90,90,90,-3.8569999999999998
HfCdO3,Hf,Cd,orthorhombic,-2.549,0.248,0,12.81,2.471,5.597,5.763,7.943,90,90,90,-7.3420000000000005
HfCeO3,Hf,Ce,orthorhombic,-3.19,0.298,0,14.482999999999999,0.0,6.053,6.259,7.645,90,90,90,-2.8989999999999996
HfCoO3,Hf,Co,cubic,-1.694,1.107,0.13,9.675,0.0,3.644,3.644,3.644,90,90,90,0.8
HfCrO3,Hf,Cr,cubic,-2.046,1.085,0.529,10.687000000000001,0.0,3.767,3.767,3.767,90,90,90,2.003
HfCuO3,Hf,Cu,cubic,-1.456,1.17,0,9.972000000000001,0.0,3.681,3.681,3.681,90,90,90,-0.38799999999999996
HfDyO3,Hf,Dy,cubic,-1.9669999999999999,1.686,0.163,15.186,0.0,4.235,4.235,4.235,90,90,90,-6.515
HfErO3,Hf,Er,cubic,-2.072,1.604,0.149,14.675,0.0,4.186,4.186,4.186,90,90,90,-6.122000000000001
HfEuO3,Hf,Eu,orthorhombic,-3.497,0.34700000000000003,0,14.356,3.359,5.753,5.847,8.535,90,90,90,-11.177999999999999
HfGaO3,Hf,Ga,cubic,-1.8330000000000002,1.171,0.006,10.587,0.0,3.755,3.755,3.755,90,90,90,2.16
HfGdO3,Hf,Gd,cubic,-1.847,1.798,0.171,15.785,0.0,4.289,4.289,4.289,90,90,90,-7.69
HfGeO3,Hf,Ge,cubic,-1.351,1.527,0.183,11.127,0.0,3.818,3.818,3.818,90,90,90,0.65
Hf2O3,Hf,Hf,cubic,-2.34,1.115,0.34,13.349,0.0,4.056,4.056,4.056,90,90,90,2.46
HfHgO3,Hf,Hg,orthorhombic,-2.228,0.257,0,13.616,1.5930000000000002,5.258,5.545,9.34,90,90,90,-5.257999999999999
HfHoO3,Hf,Ho,cubic,-2.021,1.643,0.157,14.92,0.0,4.21,4.21,4.21,90,90,90,-6.539
HfIrO3,Hf,Ir,cubic,-0.807,1.8159999999999998,0.001,12.027999999999999,0.0,3.918,3.918,3.918,90,90,90,-3.188
HfKO3,Hf,K,orthorhombic,-2.605,0.278,0.2,15.673,0.9890000000000001,6.409,6.878,7.111,90,90,90,-15.905
HfLaO3,Hf,La,orthorhombic,-3.262,0.395,0,14.5,0.0,5.982,6.231,7.78,90,90,90,-2.024
HfLiO3,Hf,Li,orthorhombic,-2.734,0.244,0.172,9.354,0.0,5.001,5.535,6.758,90,90,90,-3.0189999999999997
HfLuO3,Hf,Lu,cubic,-2.224,1.484,0.124,13.959000000000001,0.0,4.117,4.117,4.117,90,90,90,-4.832
HfMgO3,Hf,Mg,cubic,-2.3209999999999997,1.161,0,9.985,1.042,3.682,3.682,3.682,90,90,90,0.79
HfMnO3,Hf,Mn,cubic,-1.819,1.2990000000000002,0.773,10.879000000000001,0.0,3.789,3.789,3.789,90,90,90,1.45
HfMoO3,Hf,Mo,cubic,-1.466,1.484,0.238,12.082,0.0,3.924,3.924,3.924,90,90,90,-0.904
HfNaO3,Hf,Na,orthorhombic,-2.654,0.182,0.019,13.094000000000001,0.0,5.15,5.273,9.644,90,90,90,-5.152
HfNbO3,Hf,Nb,cubic,-1.795,1.37,0.286,12.824000000000002,0.0,4.003,4.003,4.003,90,90,90,0.433
HfNdO3,Hf,Nd,orthorhombic,-3.2260000000000004,0.312,0,14.025,0.0,6.019,6.141,7.589,90,90,90,-1.811
HfNiO3,Hf,Ni,cubic,-1.67,1.13,0.353,9.852,0.0,3.666,3.666,3.666,90,90,90,0.593
HfNpO3,Hf,Np,orthorhombic,-3.22,0.248,0.851,13.969000000000001,0.0,6.072,6.381,7.21,90,90,90,-0.11699999999999999
HfOsO3,Hf,Os,cubic,-0.8859999999999999,1.766,0.001,11.834000000000001,0.0,3.897,3.897,3.897,90,90,90,-2.885
HfPaO3,Hf,Pa,cubic,-1.662,1.5719999999999998,0.533,16.863,0.0,4.385,4.385,4.385,90,90,90,0.035
HfPdO3,Hf,Pd,cubic,-0.8809999999999999,1.682,0.001,12.094000000000001,0.0,3.925,3.925,3.925,90,90,90,-1.9709999999999999
HfPmO3,Hf,Pm,orthorhombic,-3.245,0.321,0,13.845,0.0,6,6.078,7.593,90,90,90,-0.249
HfPrO3,Hf,Pr,orthorhombic,-3.21,0.305,0,14.228,0.0,6.039,6.197,7.604,90,90,90,-2.349
HfPtO3,Hf,Pt,cubic,-0.6709999999999999,1.87,0.008,12.68,0.0,3.987,3.987,3.987,90,90,90,-4.457
HfPuO3,Hf,Pu,orthorhombic,-3.279,0.298,1.139,13.818,0.0,6.102,6.245,7.253,90,90,90,0.43200000000000005
HfRbO3,Hf,Rb,tetragonal,-2.1790000000000003,0.605,0.122,15.220999999999998,0.0,3.297,3.297,7.003,90,90,90,-19.067999999999998
HfReO3,Hf,Re,cubic,-1.107,1.709,0.068,11.956,0.0,3.91,3.91,3.91,90,90,90,-2.156
HfRhO3,Hf,Rh,cubic,-1.055,1.56,0,11.687000000000001,0.0,3.881,3.881,3.881,90,90,90,-1.995
HfRuO3,Hf,Ru,cubic,-1.117,1.5659999999999998,0,11.56,0.0,3.866,3.866,3.866,90,90,90,-2.171
HfSbO3,Hf,Sb,cubic,-0.8740000000000001,1.956,0.35,14.265999999999998,0.0,4.147,4.147,4.147,90,90,90,-3.967
HfScO3,Hf,Sc,cubic,-2.424,1.207,0.019,12.225,0.0,3.939,3.939,3.939,90,90,90,-2.521
HfSiO3,Hf,Si,cubic,-1.854,1.383,0.097,9.46,0.0,3.616,3.616,3.616,90,90,90,2.102
HfSmO3,Hf,Sm,cubic,-1.6880000000000002,1.89,0.176,16.56,0.0,4.359,4.359,4.359,90,90,90,-8.751
HfSnO3,Hf,Sn,orthorhombic,-2.458,0.461,0,14.982000000000001,0.9740000000000001,5.842,6.01,8.534,90,90,90,0.33399999999999996
HfSrO3,Hf,Sr,orthorhombic,-3.325,0.32799999999999996,0,15.857999999999999,3.16,5.787,5.903,9.284,90,90,90,-12.667
HfTaO3,Hf,Ta,cubic,-1.91,1.27,0.318,12.648,0.0,3.984,3.984,3.984,90,90,90,0.687
HfTbO3,Hf,Tb,cubic,-1.777,1.73,0.167,15.472999999999999,0.0,4.261,4.261,4.261,90,90,90,-7.388
HfTcO3,Hf,Tc,cubic,-1.263,1.551,0.204,11.728,0.0,3.885,3.885,3.885,90,90,90,-1.507
HfTeO3,Hf,Te,cubic,-0.593,2.1,0.346,14.796,0.0,4.198,4.198,4.198,90,90,90,-4.294
HfThO3,Hf,Th,cubic,-1.986,1.7080000000000002,0.351,18.637999999999998,0.0,4.534,4.534,4.534,90,90,90,-0.74
HfTiO3,Hf,Ti,cubic,-2.353,1.048,0.004,11.241,0.0,3.831,3.831,3.831,90,90,90,2.226
HfTlO3,Hf,Tl,orthorhombic,-2.226,0.42200000000000004,0,14.627,0.0,6.019,6.043,8.043,90,90,90,-3.5460000000000003
HfTmO3,Hf,Tm,cubic,-2.136,1.557,0.145,14.389000000000001,0.0,4.159,4.159,4.159,90,90,90,-5.651
HfUO3,Hf,U,orthorhombic,-3.128,0.321,0.631,14.155,0.0,6.015,6.445,7.303,90,90,90,-3.025
HfVO3,Hf,V,cubic,-2.057,1.151,0.534,11.012,0.0,3.804,3.804,3.804,90,90,90,1.959
HfWO3,Hf,W,cubic,-1.419,1.538,0.291,12.200999999999999,0.0,3.937,3.937,3.937,90,90,90,-1.079
HfYO3,Hf,Y,cubic,-1.942,1.689,0.162,15.171,0.0,4.233,4.233,4.233,90,90,90,-6.841
HfYbO3,Hf,Yb,orthorhombic,-3.543,0.272,0,12.94,3.864,5.539,5.697,8.202,90,90,90,-7.385
HfZnO3,Hf,Zn,cubic,-1.546,1.4169999999999998,0,10.672,0.0,3.765,3.765,3.765,90,90,90,-1.354
